% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 64.64    0.032342        8085         4           read
 20.08    0.010046        2511         4           write
  7.04    0.003523        1174         3           munmap
  3.50    0.001751         437         4           close
  2.15    0.001077         269         4           openat
  1.72    0.000863         863         1           execve
  0.40    0.000199          19        10           mmap
  0.15    0.000073          24         3           mprotect
  0.09    0.000043           8         5           fstat
  0.06    0.000032          10         3           brk
  0.05    0.000023          11         2           pread64
  0.03    0.000015          15         1         1 access
  0.02    0.000009           9         1           set_robust_list
  0.02    0.000009           9         1           getrandom
  0.02    0.000008           8         1           prlimit64
  0.01    0.000007           7         1           arch_prctl
  0.01    0.000007           7         1           set_tid_address
  0.01    0.000007           7         1           rseq
------ ----------- ----------- --------- --------- ----------------
100.00    0.050034        1000        50         1 total
