% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 59.67    0.028259        7064         4           read
 33.38    0.015807        3951         4           write
  5.70    0.002699         899         3           munmap
  0.76    0.000362         362         1           execve
  0.19    0.000091           9        10           mmap
  0.06    0.000029           7         4           openat
  0.06    0.000028           9         3           mprotect
  0.04    0.000018           6         3           brk
  0.03    0.000015           3         4           close
  0.03    0.000012           2         5           fstat
  0.02    0.000008           4         2           pread64
  0.01    0.000007           7         1         1 access
  0.01    0.000006           6         1           rseq
  0.01    0.000005           5         1           getrandom
  0.01    0.000004           4         1           prlimit64
  0.01    0.000003           3         1           arch_prctl
  0.01    0.000003           3         1           set_tid_address
  0.01    0.000003           3         1           set_robust_list
------ ----------- ----------- --------- --------- ----------------
100.00    0.047359         947        50         1 total
